ref,Timestamp,Ref,Class,Order,Family,Subfamily,Tribe,Genera,Species,LifeStage,Method,Number_caught
NCVZR3425,29/2/24 09:49,SJ13L05L03,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp. 1,Adult,three-stratified subterranean,22
NCVZR3426,29/2/24 09:49,SJ13L05L01 ,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Dignathosis),arcana,Adult,three-stratified subterranean,1
NCVZR3427,29/2/24 09:49,SJ13L05L01 ,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Heliophosis),subcordata,Adult,three-stratified subterranean,1
NCVZR3428,29/2/24 09:49,SJ13L05L01 ,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR3429,29/2/24 10:14,SH15L05L03,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR3430,29/2/24 10:34,SJ15L05L03,Insecta,Coleoptera,Scarabaeidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR4247,29/4/24 10:47,SH15L05L01,Insecta,Hymenoptera,Formicidae,Dolylinae,Unidentified,Dorylus,helvolus,Adult,three-stratified subterranean,7
NCVZR4248,29/4/24 10:48,SH15L05L03,Insecta,Hymenoptera,Formicidae,Dolylinae,Unidentified,Dorylus,helvolus,Adult,three-stratified subterranean,8
NCVZR4249,29/4/24 10:48,SH15L05L02,Insecta,Hymenoptera,Formicidae,Dolylinae,Unidentified,Dorylus,helvolus,Adult,three-stratified subterranean,284
NCVZR4250,29/4/24 11:13,SJ15L05L01,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,3
NCVZR4251,29/4/24 11:14,SJ15L05L03,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,8
NCVZR4252,29/4/24 11:14,SJ15L05L02,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,3
NCVZR5465,1/7/24 11:07,SH15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR5466,1/7/24 11:07,SH15L05L01,Insecta,Hymenoptera,Formicidae,Dolylinae,Unidentified,Dorylus,helvolus,Adult,three-stratified subterranean,2
NCVZR5467,1/7/24 11:08,SH15L05L03,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR5468,1/7/24 11:08,SH15L05L03,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp.1,Adult,three-stratified subterranean,12
NCVZR5469,1/7/24 11:32,SJ15L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR5470,1/7/24 11:33,SJ15L05L03,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,3
NCVZR5471,1/7/24 11:33,SJ15L05L03,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp.1,Adult,three-stratified subterranean,8
NCVZR7278,29/2/24 09:49,SJ13L05L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Heliophosis),subcordata,Adult,three-stratified subterranean,1
NCVZR7279,29/2/24 09:49,SJ13L05L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Dignathosis),arcana,Adult,three-stratified subterranean,1
NCVZR7280,29/2/24 09:49,SJ13L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7281,21/12/24 09:00,SD15L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Adult,three-stratified subterranean,2
NCVZR7282,21/12/24 09:30,SH15L05L03,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,three-stratified subterranean,2
NCVZR7283,6/9/24 10:00,SK18L01L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Pupa,double-stratified subterranean,1
NCVZR7284,8/11/24 10:13,SK18L01L01,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,55
NCVZR7285,8/11/24 10:13,SK18L01L01,Insecta,Diptera,Tabanidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7286,31/5/24 09:29,SJ15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7685,28/1/25 09:19,SQ17L05L03,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,three-stratified subterranean,1
NCVZR7686,28/1/25 09:18,SQ17L01L01,Insecta,Blattodea,Hodotermitidae,Hodotermitinae,Unidentified,Hodotermes,mossambicus,Adult,double-stratified subterranean,1
NCVZR7687,28/1/25 07:29,SD15L05L03,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7688,28/1/25 08:31,SP15L05L01,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7689,28/1/25 08:31,SP15L05L01,Insecta,Hymenoptera,Formicidae,Formicinae,Camponotini,Camponotus,maculatus,Adult,three-stratified subterranean,1
NCVZR7690,28/1/25 08:31,SP15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Pupa,three-stratified subterranean,1
NCVZR7691,28/1/25 07:14,SH15L05L02,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7692,28/1/25 07:14,SH15L01L02,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp.1,Adult,double-stratified subterranean,15
NCVZR7693,28/1/25 07:28,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Adult,three-stratified subterranean,2
NCVZR7694,28/1/25 07:28,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Adult,three-stratified subterranean,1
NCVZR7695,28/1/25 07:28,SD15L05L01,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7696,30/1/25 08:44,SO18L01L01,Insecta,Hymenoptera,Formicidae,Ponerinae,Ponerini,Plectroctena,mandibularis,Adult,double-stratified subterranean,1
NCVZR7697,28/1/25 07:13,SH15L01L01,Insecta,Lepidoptera,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Pupa,double-stratified subterranean,1
NCVZR7698,30/1/25 10:35,SJ13L05L02,Insecta,Neuroptera,Myrmeleontidae,Palparinae,Palparini,Golafrus,oneilli,Larva,three-stratified subterranean,1
NCVZR7699,30/1/25 10:34,SJ13L05L01,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,1
NCVZR7700,30/1/25 07:30,SL17L05L02,Reptilia,Squamata,Scincidae,Unidentified,Unidentified,Acontias,kgalagadi,Adult,three-stratified subterranean,1
NCVZR7701,30/1/25 10:42,SJ13L01L01,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,double-stratified subterranean,1
NCVZR7702,28/1/25 07:13,SH15L01L01,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7703,28/1/25 07:41,SD15L01L02,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Dignathosis),arcana,Adult,double-stratified subterranean,1
NCVZR7704,28/1/25 07:04,SH15L05L01,Insecta,Diptera,Asilidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7705,28/1/25 08:43,SP15L01L01,Insecta,Coleoptera,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Adult,double-stratified subterranean,1
NCVZR7706,28/1/25 09:31,SQ17L05L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7707,28/1/25 09:31,SQ17L05L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,1
NCVZR7708,28/1/25 07:41,SD15L01L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7709,28/1/25 07:41,SD15L01L02,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,1
NCVZR7710,28/1/25 07:05,SH15L05L03,Insecta,Diptera,Mydidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7711,28/1/25 07:05,SH15L05L03,Insecta,Hemiptera,Aphrophoridae,Unidentified,Unidentified,Unidentified,sp. 1,Adult,three-stratified subterranean,1
NCVZR7712,28/1/25 10:21,SK18L01L01,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7713,28/1/25 10:21,SK18L01L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7714,28/1/25 09:19,SQ17L01L01,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7715,30/1/25 08:31,SO18L05L03,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR7716,30/1/25 08:44,SO18L01L01,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,double-stratified subterranean,2
NCVZR7717,30/1/25 11:06,SJ15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,2
NCVZR7718,30/1/25 10:35,SJ13L05L03,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,three-stratified subterranean,1
NCVZR7720,27/12/24 10:30,SJ15L05L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,8
NCVZR7806,27/12/24 09:00,SJ15L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7807,27/12/24 09:00,SJ15L05L02,Insecta,Coleoptera,Carabidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7808,27/12/24 09:30,SJ13L05L03,Insecta,Blattodea,Termitidae,Macrotermitinae,Unidentified,Odontotermes,sp. 1,Adult,three-stratified subterranean,11
NCVZR7809,27/12/24 09:30,SJ13L05L03,Insecta,Coleoptera,Scarabaeidae,Melolonthinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7810,27/12/24 10:00,SO18L05L03,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,2
NCVZR7811,27/12/24 10:15,SO18L01L02,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,double-stratified subterranean,4
NCVZR7812,27/12/24 10:15,SO18L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7813,27/12/24 10:15,SO18L01L02,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,double-stratified subterranean,1
NCVZR7814,27/12/24 09:45,SJ13L01L02,Insecta,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,double-stratified subterranean,1
NCVZR7815,21/12/24 12:00,SH15L05L02,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,three-stratified subterranean,1
NCVZR7816,21/12/24 11:30,SD15L01L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Dignathosis),arcana,Adult,double-stratified subterranean,2
NCVZR7817,21/12/24 11:35,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Blaptinae,Opatrini,Calaharena,dutoiti,Adult,three-stratified subterranean,4
NCVZR7818,21/12/24 10:00,SK18L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7819,21/12/24 12:05,SH15L05L01,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,1
NCVZR7820,21/12/24 09:35,SP15L05L03,Reptilia,Squamata,Scincidae,Unidentified,Unidentified,Acontias,kgalagadi,Adult,three-stratified subterranean,1
NCVZR7821,21/12/24 10:00,SK18L05L02,Insecta,Diptera,Asilidae,Asilinae,Unidentified,Alcimus,sp.1,Larva,three-stratified subterranean,1
NCVZR7822,21/12/24 11:30,SD15L01L01,Arachnida,Araneae,Unidentified,Unidentified,Unidentified,Unidentified,Unidentified,Egg sac,double-stratified subterranean,1
NCVZR7824,2/11/24 12:30,SP15L05L03,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp. 1,Adult,three-stratified subterranean,2
NCVZR7825,8/11/24 11:00,SD15L05L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Adelostomini,Stips,sp. 1,Adult,three-stratified subterranean,1
NCVZR7826,8/11/24 10:13,SK18L01L02,Arachnida,Solifugae,Hexisopodidae,Unidentified,Unidentified,Chelypus,sp. 1,Adult,double-stratified subterranean,1
NCVZR7827,8/11/24 10:22,SK18L05L02,Insecta,Coleoptera,Tenebrionidae,Unidentified,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7828,8/11/24 11:00,SD15L05L01,Insecta,Coleoptera,Scarabaeidae,Scarabaeinae,Unidentified,Unidentified,Unidentified,Larva,three-stratified subterranean,1
NCVZR7829,8/11/24 09:25,SP15L05L03,Insecta,Blattodea,Corydiidae,Euthyrrhaphinae,Tiviini,Tivia,sp.1,Adult,three-stratified subterranean,2
NCVZR7830,25/10/24 11:15,SL17L01L01,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,52
NCVZR7831,25/10/24 11:20,SL17L01L02,Insecta,Blattodea,Termitidae,Amiterminae,Unidentified,Microcerotermes,sp. 1,Adult,double-stratified subterranean,25
NCVZR7833,12/9/24 09:00,SO18L01L01,Insecta,Coleoptera,Tenebrionidae,Pimeliinae,Zophosini,Zophosis (Sabulophosis),kalahariensis,Adult,double-stratified subterranean,1
